Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,symmetric,0.9099999999999999,0.454232690596647
100% Corpus,6,symmetric,symmetric,0.40929389286558493
100% Corpus,6,asymmetric,0.01,0.4381997318042537
100% Corpus,6,asymmetric,0.31,0.48694934298301656
100% Corpus,6,asymmetric,0.61,0.4877194614618678
100% Corpus,6,asymmetric,0.9099999999999999,0.4786876417194175
100% Corpus,6,asymmetric,symmetric,0.4298036321890983
100% Corpus,7,0.01,0.01,0.4146153430633083
100% Corpus,7,0.01,0.31,0.3894122459806262
100% Corpus,7,0.01,0.61,0.3825721481920075
100% Corpus,7,0.01,0.9099999999999999,0.35936725070986403
100% Corpus,7,0.01,symmetric,0.4049245147523747
100% Corpus,7,0.31,0.01,0.4201885062081891
100% Corpus,7,0.31,0.31,0.3956743100924656
100% Corpus,7,0.31,0.61,0.4099578692157471
100% Corpus,7,0.31,0.9099999999999999,0.4594132545832946
100% Corpus,7,0.31,symmetric,0.40935356814197194
100% Corpus,7,0.61,0.01,0.4290283408818501
100% Corpus,7,0.61,0.31,0.4211553803215083
100% Corpus,7,0.61,0.61,0.40309686046118187
100% Corpus,7,0.61,0.9099999999999999,0.5898195483463847
100% Corpus,7,0.61,symmetric,0.40927203622223696
100% Corpus,7,0.9099999999999999,0.01,0.4233811381726514
100% Corpus,7,0.9099999999999999,0.31,0.4174867483569212
100% Corpus,7,0.9099999999999999,0.61,0.4397552639370709
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5663027318816116
100% Corpus,7,0.9099999999999999,symmetric,0.40472910164475046
100% Corpus,7,symmetric,0.01,0.41636529942685324
100% Corpus,7,symmetric,0.31,0.39135744102234826
100% Corpus,7,symmetric,0.61,0.37546545124625175
100% Corpus,7,symmetric,0.9099999999999999,0.38429792968711846
100% Corpus,7,symmetric,symmetric,0.4117362482307265
100% Corpus,7,asymmetric,0.01,0.4053570786645375
100% Corpus,7,asymmetric,0.31,0.4953665348996698
100% Corpus,7,asymmetric,0.61,0.6112248080654298
100% Corpus,7,asymmetric,0.9099999999999999,0.5866128981221982
100% Corpus,7,asymmetric,symmetric,0.44412779556019105
100% Corpus,8,0.01,0.01,0.46773636211176906
100% Corpus,8,0.01,0.31,0.4066462784874443
100% Corpus,8,0.01,0.61,0.4320378147651144
100% Corpus,8,0.01,0.9099999999999999,0.39662335709553836
100% Corpus,8,0.01,symmetric,0.4706529211674065
